trajectory_id,system_id,replica_id,engine,variant_id,condition,disulfide_state,replica_group_id,expected_replicas,topology_path,trajectory_path,config_path,log_path,box_path,production_start_ns,production_end_ns,frame_stride_ps,window_length_ns,window_step_ns,element_control,canonical_mapping,biological_annotations,partner_metadata,readiness_status,readiness_notes,source_group,nominal_duration_ns,time_control,overlap_percent
namd_egor_wt_0ss_r2,namd_egor_wt_0ss,2,namd,WT,PMm,0SS,namd_egor_wt_0ss,3,egor/MD_no_bonds_NPT_W_I_PMm_100_ns_2.psf,egor/dcd/MD_no_bonds_W_I_PMm_100_ns_2.dcd,egor/MD_no_bonds_NPT_W_I_PMm_100_ns_2.conf,egor/MD_no_bonds_NPT_W_I_PMm_100_ns_2.out,egor/MD_no_bonds_NPT_W_I_PMm_100_ns_2.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_0ss_r2/elements.portable.json,egor_handoff/controls/namd/egor_wt_0ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_0ss/annotations.json,egor_handoff/controls/namd/egor_wt_0ss/partner_metadata.json,MISSING_FILES,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; DCD locally absent; expected CONF/OUT path egor/dcd/MD_no_bonds_W_I_PMm_100_ns_2.dcd; delivery bytes and header unverified; Execution-site DCD verification required; absence is distinct from available scientific authority; External full-axis preparation and reviewed PBC lineage pending; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_0ss_r2/raw_time.template.json,50
namd_egor_wt_0ss_r3,namd_egor_wt_0ss,3,namd,WT,PMm,0SS,namd_egor_wt_0ss,3,egor/MD_no_bonds_NPT_W_I_PMm_100_ns_3.psf,egor/dcd/MD_no_bonds_W_I_PMm_100_ns_3.dcd,egor/MD_no_bonds_NPT_W_I_PMm_100_ns_3.conf,egor/MD_no_bonds_NPT_W_I_PMm_100_ns_3.out,egor/MD_no_bonds_NPT_W_I_PMm_100_ns_3.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_0ss_r3/elements.portable.json,egor_handoff/controls/namd/egor_wt_0ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_0ss/annotations.json,egor_handoff/controls/namd/egor_wt_0ss/partner_metadata.json,MISSING_FILES,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; DCD locally absent; expected CONF/OUT path egor/dcd/MD_no_bonds_W_I_PMm_100_ns_3.dcd; delivery bytes and header unverified; Execution-site DCD verification required; absence is distinct from available scientific authority; External full-axis preparation and reviewed PBC lineage pending; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_0ss_r3/raw_time.template.json,50
namd_egor_wt_1ss_r1,namd_egor_wt_1ss,1,namd,WT,PMm,1SS,namd_egor_wt_1ss,3,egor/MD_303_350_NPT_W_I_PMm_100_ns.psf,egor/MD_303_350_NPT_W_I_PMm_100_ns.dcd,egor/MD_303_350_NPT_W_I_PMm_100_ns.conf,egor/MD_303_350_NPT_W_I_PMm_100_ns.out,egor/MD_303_350_NPT_W_I_PMm_100_ns.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_1ss_r1/elements.portable.json,egor_handoff/controls/namd/egor_wt_1ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_1ss/annotations.json,egor_handoff/controls/namd/egor_wt_1ss/partner_metadata.json,NEEDS_AUTHORITY,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; Raw DCD locally present; header and expected size checked only; DCD byte/frame/atom-order verification and full raw/prepared time controls pending; External full-axis preparation and reviewed PBC lineage pending; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_1ss_r1/raw_time.template.json,50
namd_egor_wt_1ss_r2,namd_egor_wt_1ss,2,namd,WT,PMm,1SS,namd_egor_wt_1ss,3,egor/MD_303_350_NPT_W_I_PMm_100_ns_2.psf,egor/dcd/MD_303_350_W_I_PMm_100_ns_2.dcd,egor/MD_303_350_NPT_W_I_PMm_100_ns_2.conf,egor/MD_303_350_NPT_W_I_PMm_100_ns_2.out,egor/MD_303_350_NPT_W_I_PMm_100_ns_2.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_1ss_r2/elements.portable.json,egor_handoff/controls/namd/egor_wt_1ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_1ss/annotations.json,egor_handoff/controls/namd/egor_wt_1ss/partner_metadata.json,MISSING_FILES,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; DCD locally absent; expected CONF/OUT path egor/dcd/MD_303_350_W_I_PMm_100_ns_2.dcd; delivery bytes and header unverified; Execution-site DCD verification required; absence is distinct from available scientific authority; External full-axis preparation and reviewed PBC lineage pending; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_1ss_r2/raw_time.template.json,50
namd_egor_wt_1ss_r3,namd_egor_wt_1ss,3,namd,WT,PMm,1SS,namd_egor_wt_1ss,3,egor/MD_303_350_NPT_W_I_PMm_100_ns_3.psf,egor/dcd/MD_303_350_W_I_PMm_100_ns_3.dcd,egor/MD_303_350_NPT_W_I_PMm_100_ns_3.conf,egor/MD_303_350_NPT_W_I_PMm_100_ns_3.out,egor/MD_303_350_NPT_W_I_PMm_100_ns_3.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_1ss_r3/elements.portable.json,egor_handoff/controls/namd/egor_wt_1ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_1ss/annotations.json,egor_handoff/controls/namd/egor_wt_1ss/partner_metadata.json,MISSING_FILES,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; DCD locally absent; expected CONF/OUT path egor/dcd/MD_303_350_W_I_PMm_100_ns_3.dcd; delivery bytes and header unverified; Execution-site DCD verification required; absence is distinct from available scientific authority; External full-axis preparation and reviewed PBC lineage pending; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_1ss_r3/raw_time.template.json,50
namd_egor_wt_2ss_r1,namd_egor_wt_2ss,1,namd,WT,PMm,2SS,namd_egor_wt_2ss,3,egor/MD_2_bonds_NPT_W_I_PMm_100_ns.psf,egor/dcd/MD_2_bonds_W_I_PMm_100_ns.dcd,egor/MD_2_bonds_NPT_W_I_PMm_100_ns.conf,egor/MD_2_bonds_NPT_W_I_PMm_100_ns.out,egor/MD_2_bonds_NPT_W_I_PMm_100_ns.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_2ss_r1/elements.portable.json,egor_handoff/controls/namd/egor_wt_2ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_2ss/annotations.json,egor_handoff/controls/namd/egor_wt_2ss/partner_metadata.json,MISSING_FILES,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; DCD locally absent; expected CONF/OUT path egor/dcd/MD_2_bonds_W_I_PMm_100_ns.dcd; delivery bytes and header unverified; Execution-site DCD verification required; absence is distinct from available scientific authority; External full-axis preparation and reviewed PBC lineage pending; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_2ss_r1/raw_time.template.json,50
namd_egor_wt_2ss_r2,namd_egor_wt_2ss,2,namd,WT,PMm,2SS,namd_egor_wt_2ss,3,egor/MD_2_bonds_NPT_W_I_PMm_100_ns_2.psf,egor/dcd/MD_2_bonds_W_I_PMm_100_ns_2.dcd,egor/MD_2_bonds_NPT_W_I_PMm_100_ns_2.conf,egor/MD_2_bonds_NPT_W_I_PMm_100_ns_2.out,egor/MD_2_bonds_NPT_W_I_PMm_100_ns_2.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_2ss_r2/elements.portable.json,egor_handoff/controls/namd/egor_wt_2ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_2ss/annotations.json,egor_handoff/controls/namd/egor_wt_2ss/partner_metadata.json,MISSING_FILES,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; DCD locally absent; expected CONF/OUT path egor/dcd/MD_2_bonds_W_I_PMm_100_ns_2.dcd; delivery bytes and header unverified; Execution-site DCD verification required; absence is distinct from available scientific authority; External full-axis preparation and reviewed PBC lineage pending; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_2ss_r2/raw_time.template.json,50
namd_egor_wt_2ss_r3,namd_egor_wt_2ss,3,namd,WT,PMm,2SS,namd_egor_wt_2ss,3,egor/MD_2_bonds_NPT_W_I_PMm_100_ns_3.psf,egor/dcd/MD_2_bonds_W_I_PMm_100_ns_3.dcd,egor/MD_2_bonds_NPT_W_I_PMm_100_ns_3.conf,egor/MD_2_bonds_NPT_W_I_PMm_100_ns_3.out,egor/MD_2_bonds_NPT_W_I_PMm_100_ns_3.xsc,5,100,200,2,1,egor_handoff/templates/namd_egor_wt_2ss_r3/elements.portable.json,egor_handoff/controls/namd/egor_wt_2ss/canonical_mapping.json,egor_handoff/controls/namd/egor_wt_2ss/annotations.json,egor_handoff/controls/namd/egor_wt_2ss/partner_metadata.json,MISSING_FILES,Nine-row handoff supplies exact system PSF-bound elements and 690-residue mapping; complete annotations and own-topology partner metadata supplied; All three system PSFs byte-identical; shared system authority with replica-specific element path bindings; CONF/OUT-derived full time axis and approved external PBC protocol supplied; DCD locally absent; expected CONF/OUT path egor/dcd/MD_2_bonds_W_I_PMm_100_ns_3.dcd; delivery bytes and header unverified; Execution-site DCD verification required; absence is distinct from available scientific authority; External full-axis preparation and reviewed PBC lineage pending; Templates are not executable bindings; no new MD or contact science in this handoff task; Real QC and specialized partner correspondence remain downstream gates; Check stable UTC/NTP before unattended runs,egor_namd,100,egor_handoff/templates/namd_egor_wt_2ss_r3/raw_time.template.json,50
namd_alina_wt_r1,namd_alina_wt,1,namd,WT,POPC,,namd_alina_wt,1,namd/alina/raw/step5_assembly_norm_WT.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_01_r1,namd_alina_inventory_01,1,namd,C303A,POPC,,namd_alina_inventory_01,1,namd/alina/raw/step5_assembly303.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_02_r1,namd_alina_inventory_02,1,namd,C322A,POPC,,namd_alina_inventory_02,1,namd/alina/raw/step5_assembly322.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_03_r1,namd_alina_inventory_03,1,namd,C328A,POPC,,namd_alina_inventory_03,1,namd/alina/raw/step5_assembly_328.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_04_r1,namd_alina_inventory_04,1,namd,C350A,POPC,,namd_alina_inventory_04,1,namd/alina/raw/step5_assembly_350.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_05_r1,namd_alina_inventory_05,1,namd,C303A_C322A,POPC,,namd_alina_inventory_05,1,namd/alina/raw/step5_assembly_303_322.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_06_r1,namd_alina_inventory_06,1,namd,C303A_C328A,POPC,,namd_alina_inventory_06,1,namd/alina/raw/step5_assembly303-328.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_07_r1,namd_alina_inventory_07,1,namd,C303A_C350A,POPC,,namd_alina_inventory_07,1,namd/alina/raw/step5_assembly303-350.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_08_r1,namd_alina_inventory_08,1,namd,C322A_C328A,POPC,,namd_alina_inventory_08,1,namd/alina/raw/step5_assembly322-328.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_09_r1,namd_alina_inventory_09,1,namd,C322A_C350A,POPC,,namd_alina_inventory_09,1,namd/alina/raw/step5_assembly322-350.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_10_r1,namd_alina_inventory_10,1,namd,C328A_C350A,POPC,,namd_alina_inventory_10,1,namd/alina/raw/step5_assembly328-350.psf,,,,,5,30,200,2,1,,,,,MISSING_FILES,DCD absent in local intake; delivery filename unverified; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved),alina_namd,30,,50
namd_alina_inventory_11_r1,namd_alina_inventory_11,1,namd,C328Y,POPC,,namd_alina_inventory_11,1,namd/alina/raw/step5_assembly328-tyr.psf,namd/alina/raw/328tyr_2.dcd,,,,5,30,200,2,1,,,,,MISSING_FILES,"Only approximately 10 ns / 400-frame DCD observed, not verified 30 ns production; CONF/OUT/toppar/time authority and box provenance absent; Source-run identity/atom order not verified; Exact element/mapping/annotation/partner controls unresolved; Disulfide metadata/applicability unresolved; Replica 1 is frozen cardinality bookkeeping; _2 is not independent-replica authority; POPC environment and 30 ns duration supplied by supervisor; requested timing approved; External PBC execution/audit pending; inclusive-window contract implementation pending (execution gate; requested timing is approved)",alina_namd,30,,50
